               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11389,            0.030024,                   0,           0.0011111,              0.1875,          0.00069483,           0.0001117,             0.10961,            0.027292,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11573,            0.028289,                   0,           0.0013333,                0.25,           0.0015297,          0.00032914,             0.10044,            0.024398,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10371,            0.027059,                   0,           0.0010417,              0.3125,           0.0018198,          0.00046069,            0.091616,            0.022521,                   0,            0.087372,           0.0013723,           0.0013723
                   3,            0.096487,            0.026046,                   0,           0.0010417,              0.3125,          0.00080551,          0.00032189,            0.091818,            0.020314,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.098436,            0.024952,                   0,          0.00041667,               0.125,          0.00026749,          0.00011893,            0.089989,            0.018903,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.094749,            0.023518,                   0,          0.00083333,                0.25,          0.00057391,          0.00016611,            0.080882,            0.018481,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.088317,            0.023993,                   0,           0.0016667,                 0.5,            0.011521,           0.0021253,            0.078774,             0.01691,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.086242,            0.021941,                   0,            0.001875,              0.5625,            0.037999,            0.011454,            0.076865,            0.015268,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.080553,            0.022412,                   0,             0.20182,                0.25,            0.096237,            0.024715,            0.075282,             0.01387,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.083445,            0.018051,                   0,             0.12891,                0.25,             0.16657,            0.065472,            0.076175,            0.012809,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.080686,            0.019775,                   0,             0.17201,              0.1875,              0.1784,            0.066186,            0.067542,            0.012916,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.073137,            0.022511,                   0,             0.15975,                0.25,             0.17033,            0.071832,            0.070038,            0.011932,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.075651,            0.018924,                   0,            0.054158,               0.375,             0.20501,            0.066501,            0.070891,            0.011722,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.073615,            0.020728,                   0,            0.044219,               0.375,             0.17792,            0.034279,            0.082523,            0.010469,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.071358,            0.018996,                   0,            0.048373,              0.5625,             0.23239,            0.088272,            0.074378,            0.011189,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.072924,            0.019658,                   0,            0.050292,             0.53295,              0.2464,             0.04598,            0.064424,            0.011662,                   0,            0.027727,           0.0067268,           0.0067268
                  16,             0.06704,            0.021097,                   0,           0.0027742,              0.8125,              0.2219,            0.070381,            0.076549,            0.010329,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.070547,            0.018284,                   0,           0.0062858,              0.8125,             0.19767,            0.074076,            0.066894,             0.01103,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.067498,            0.023783,                   0,            0.003005,              0.8125,             0.14366,            0.055997,            0.066245,            0.011078,                   0,            0.013725,           0.0077249,           0.0077249
